373 MH12VX0066	10000	Non-Transport 2W,3W
374	MH12VX0222	15000	Non-Transport 2W,3W
375	MH12VX0444	15000	Non-Transport 2W,3W
376	MH12VX0456	10000	Non-Transport 2W,3W
377	MH12VX0666	15000	Non-Transport 2W,3W
378	MH12VX0678	10000	Non-Transport 2W,3W
379	MH12VX0786	20000	Non-Transport 2W,3W
380	MH12VX0789	10000	Non-Transport 2W,3W
381	MH12VX1221	5000	Non-Transport 2W,3W
382	MH12VX1415	5000	Non-Transport 2W,3W
383	MH12VX1516	5000	Non-Transport 2W,3W
384	MH12VX1718	5000	Non-Transport 2W,3W
385	MH12VX2425	5000	Non-Transport 2W,3W
386	MH12VX2627	5000	Non-Transport 2W,3W
387	MH12VX2728	5000	Non-Transport 2W,3W
388	MH12VX2829	5000	Non-Transport 2W,3W
389	MH12VX2930	5000	Non-Transport 2W,3W
390	MH12VX3233	5000	Non-Transport 2W,3W
391	MH12VX3435	5000	Non-Transport 2W,3W
392	MH12VX3536	5000	Non-Transport 2W,3W
393	MH12VX3636	10000	Non-Transport 2W,3W
394	MH12VX3637	5000	Non-Transport 2W,3W
395	MH12VX3738	5000	Non-Transport 2W,3W
396	MH12VX3839	5000	Non-Transport 2W,3W
397	MH12VX3940	5000	Non-Transport 2W,3W
398	MH12VX4004	5000	Non-Transport 2W,3W
399	MH12VX4100	5000	Non-Transport 2W,3W
400	MH12VX4142	5000	Non-Transport 2W,3W
401	MH12VX4200	5000	Non-Transport 2W,3W
402	MH12VX4243	5000	Non-Transport 2W,3W
403	MH12VX4344	5000	Non-Transport 2W,3W
404	MH12VX4546	5000	Non-Transport 2W,3W
405	MH12VX4567	10000	Non-Transport 2W,3W
406	MH12VX4600	5000	Non-Transport 2W,3W
407	MH12VX4647	5000	Non-Transport 2W,3W
408	MH12VX4748	5000	Non-Transport 2W,3W
409	MH12VX4800	5000	Non-Transport 2W,3W
410	MH12VX4849	5000	Non-Transport 2W,3W
411	MH12VX4950	5000	Non-Transport 2W,3W
412	MH12VX5051	5000	Non-Transport 2W,3W
413	MH12VX5152	5000	Non-Transport 2W,3W
414	MH12VX5200	5000	Non-Transport 2W,3W
415	MH12VX5300	5000	Non-Transport 2W,3W
416	MH12VX5657	5000	Non-Transport 2W,3W
417	MH12VX5678	10000	Non-Transport 2W,3W
418	MH12VX5758	5000	Non-Transport 2W,3W
419	MH12VX5859	5000	Non-Transport 2W,3W
420	MH12VX5900	5000	Non-Transport 2W,3W
421	MH12VX5960	5000	Non-Transport 2W,3W
422	MH12VX5995	5000	Non-Transport 2W,3W
423	MH12VX6061	5000	Non-Transport 2W,3W
424	MH12VX6161	5000	Non-Transport 2W,3W
425	MH12VX6162	5000	Non-Transport 2W,3W
426	MH12VX6200	5000	Non-Transport 2W,3W
427	MH12VX6263	5000	Non-Transport 2W,3W
428	MH12VX6364	5000	Non-Transport 2W,3W
429	MH12VX6400	5000	Non-Transport 2W,3W
430	MH12VX6464	5000	Non-Transport 2W,3W
431	MH12VX6465	5000	Non-Transport 2W,3W
432	MH12VX6666	15000	Non-Transport 2W,3W
433	MH12VX6700	5000	Non-Transport 2W,3W
434	MH12VX6768	5000	Non-Transport 2W,3W
435	MH12VX6789	10000	Non-Transport 2W,3W
436	MH12VX6800	5000	Non-Transport 2W,3W
437	MH12VX6869	5000	Non-Transport 2W,3W
438	MH12VX6900	5000	Non-Transport 2W,3W
439	MH12VX6970	5000	Non-Transport 2W,3W
440	MH12VX7071	5000	Non-Transport 2W,3W
441	MH12VX7080	5000	Non-Transport 2W,3W
442	MH12VX7374	5000	Non-Transport 2W,3W
443	MH12VX7400	5000	Non-Transport 2W,3W
444	MH12VX7475	5000	Non-Transport 2W,3W
445	MH12VX7500	5000	Non-Transport 2W,3W
446	MH12VX7800	5000	Non-Transport 2W,3W
447	MH12VX8081	5000	Non-Transport 2W,3W
448	MH12VX8300	5000	Non-Transport 2W,3W
449	MH12VX8384	5000	Non-Transport 2W,3W
450	MH12VX8400	5000	Non-Transport 2W,3W
451	MH12VX8485	5000	Non-Transport 2W,3W
452	MH12VX8500	5000	Non-Transport 2W,3W
453	MH12VX8586	5000	Non-Transport 2W,3W
454	MH12VX8600	5000	Non-Transport 2W,3W
455	MH12VX8686	5000	Non-Transport 2W,3W
456	MH12VX8687	5000	Non-Transport 2W,3W
457	MH12VX8700	5000	Non-Transport 2W,3W
458	MH12VX8787	5000	Non-Transport 2W,3W
459	MH12VX8888	15000	Non-Transport 2W,3W
460	MH12VX8900	5000	Non-Transport 2W,3W
461	MH12VX8990	5000	Non-Transport 2W,3W
462	MH12VX9200	5000	Non-Transport 2W,3W
463	MH12VX9293	5000	Non-Transport 2W,3W
464	MH12VX9300	5000	Non-Transport 2W,3W
465	MH12VX9596	5000	Non-Transport 2W,3W
466	MH12VX9600	5000	Non-Transport 2W,3W
467	MH12VX9798  5000	Non-Transport 2W,3W
