Digits	Price
0066	10000
0222	15000
0444	15000
0456	10000
0666	15000
0678	10000
0786	20000
0789	10000
1221	5000
1415	5000
1516	5000
1718	5000
2425	5000
2627	5000
2728	5000
2829	5000
2930	5000
3233	5000
3435	5000
3536	5000
3636	10000
3637	5000
3738	5000
3839	5000
3940	5000
4004	5000
4100	5000
4142	5000
4200	5000
4243	5000
4344	5000
4546	5000
4567	10000
4600	5000
4647	5000
4748	5000
4800	5000
4849	5000
4950	5000
5051	5000
5152	5000
5200	5000
5300	5000
5657	5000
5678	10000
5758	5000
5859	5000
5900	5000
5960	5000
5995	5000
6061	5000
6161	5000
6162	5000
6200	5000
6263	5000
6364	5000
6400	5000
6464	5000
6465	5000
6666	15000
6700	5000
6768	5000
6789	10000
6800	5000
6869	5000
6900	5000
6970	5000
7071	5000
7080	5000
7374	5000
7400	5000
7475	5000
7500	5000
7800	5000
8081	5000
8300	5000
8384	5000
8400	5000
8485	5000
8500	5000
8586	5000
8600	5000
8686	5000
8687	5000
8700	5000
8787	5000
8888	15000
8900	5000
8990	5000
9200	5000
9293	5000
9300	5000
9596	5000
9600	5000
9798	5000
